periodo,rs_de0_hasta1sm,rs_de1_hasta2sm,rs_de2_hasta3sm,rs_de3_hasta4sm,rs_de4_hasta5sm,rs_de5_hasta6sm,rs_de6_hasta7sm,rs_de7_hasta8sm,rs_de8_hasta9sm,rs_de9_hasta10sm,rs_de10_hasta11sm,rs_de11_hasta12sm,rs_de12_hasta13sm,rs_de13_hasta14sm,rs_de14_hasta15sm,rs_de15_hasta16sm,rs_de16_hasta17sm
2017/04,15840,7412556,3596710,2116618,1280322,947314,774360,502244,368321,274187,218011,174711,143117,123439,114769,97849,79315
2017/05,14081,7264674,3654601,2133128,1303829,948397,786100,504493,373040,279190,221060,173504,145559,125814,112725,99475,81034
2017/06,13244,7377465,3648053,2122065,1298893,947849,786181,506044,371538,278904,219416,173142,144760,125991,114148,100982,81802
2017/07,11944,7245473,3695036,2141748,1320514,948068,794553,527880,385055,294700,235473,184521,153337,131044,119290,99709,84674
2017/08,11779,7373120,3681127,2131693,1319516,947961,795155,528841,386070,294689,236521,185302,153378,131196,118739,100163,84932
2017/09,12164,7390817,3800978,2172452,1318660,972401,795862,516858,383672,287552,225224,181799,147283,128220,115978,102202,81287
2017/10,11634,7549952,3809215,2173389,1320237,970847,803393,517877,386114,290488,226211,183619,145849,130770,115023,103525,81129
2017/11,10951,7440996,3892212,2245353,1354299,973390,823368,529159,389276,292952,228669,184122,145844,132572,113873,106469,82682
2017/12,34514,8200095,3661997,2029008,1242635,914952,712271,466022,341611,251645,197642,158130,134936,122886,104405,87373,70647
2018/01,20702,8018430,3678455,2056498,1253710,931739,736002,506609,358273,269440,216657,177523,146736,134348,111063,94076,75638
2018/02,18967,8137554,3679270,2067236,1258356,939262,741037,512840,359647,271404,217600,178066,148075,134721,111948,94337,75626
2018/03,17084,7989214,3770032,2168260,1319429,959611,750523,505264,364773,274555,210168,172333,140989,127276,110592,91441,74359
2018/04,16773,8075421,3755517,2163978,1318035,962621,753696,505794,364185,276047,211141,173116,142112,128658,111324,92960,75033
2018/05,15212,7940605,3804433,2187440,1344710,978013,763816,507195,366174,279780,211399,173490,144910,128237,111893,95015,76188
2018/06,14537,7989366,3775279,2168928,1336514,977646,761029,507795,363681,278372,210738,173807,145185,128870,113446,96241,76561
2018/07,13170,7897355,3803434,2168641,1348788,986247,766190,531318,381867,295824,223538,183358,152631,133656,114502,98510,79998
2018/08,12841,8036670,3792274,2159229,1345139,986309,766404,532700,381267,295803,224571,184007,152607,133053,115145,98949,80304
2018/09,12667,8023132,3921636,2218833,1368471,992703,771610,520604,370649,283448,216518,178807,147262,131637,115121,96401,76972
2018/10,12158,8175047,3922209,2210546,1366124,990215,773333,524658,371369,284382,217277,178774,148550,126884,118067,96635,78776
2018/11,11496,8056629,4018012,2274016,1381280,989375,798183,527709,376622,283655,218771,179242,148650,121800,117941,99231,80376
2018/12,10794,7902745,3897391,2236438,1362340,980303,791347,523124,374162,280182,216341,177885,148201,120775,119893,100435,80360
2019/01,28722,8933395,3782211,2038739,1256480,942514,673926,430013,334528,247061,202010,160770,147024,119888,93572,76936,62587
2019/02,24474,9003560,3788812,2060191,1267095,947001,682483,432082,335360,247217,202651,161206,147802,119996,93700,76964,62904
2019/03,21760,8867335,3882034,2129322,1336717,987781,653993,428485,328093,238511,196298,151912,142368,115878,90591,73566,60738
2019/04,20112,8906589,3852142,2124020,1337076,995089,651591,433033,330517,240579,197850,152808,142868,117423,91766,74342,61025
2019/05,18302,8793765,3911751,2138387,1343517,1002204,648938,432252,327625,239816,197442,155256,142277,118251,93878,77800,63851
2019/06,18267,8858526,3868315,2120343,1338815,999476,645900,433338,324543,237813,196121,154362,143705,120486,93889,76721,62574
2019/07,17083,8741018,3875597,2135926,1348184,1014782,666889,457532,342025,254155,208740,163090,146267,121581,99024,78968,65187
2019/08,17182,8836691,3836151,2118421,1342759,1013654,666716,456205,341219,252924,208079,161912,145203,121759,99046,78733,65152
2019/09,15398,8907359,3967326,2142683,1358871,999970,663728,444441,327212,242749,200221,156550,141416,121056,94634,76964,63524
2019/10,16535,9072316,3948861,2138106,1361592,1001983,664665,447299,328063,243738,198796,158565,139055,122276,95709,77769,64586
2019/11,14334,8918880,4075260,2199798,1358508,1009697,672092,458041,331762,244132,201094,157953,131441,125324,99335,82244,66718
2019/12,15610,8715589,3964007,2170479,1342170,1002462,667400,454334,330031,242517,200191,157419,131036,126125,99404,82053,66129
2020/01,40752,10305220,3592273,1849324,1252119,813230,526927,373396,281320,209414,169481,155145,114997,90654,74162,61690,55622
2020/02,33151,10361958,3615745,1851302,1264657,816012,550133,375423,282438,210713,170213,156022,114884,91090,74155,61625,54022
2020/03,30824,10075734,3736827,1912866,1285148,810567,553736,365297,275334,206422,164138,151478,113225,87145,71583,59116,51063
2020/04,26963,9693793,3638590,1879221,1269626,802397,548723,361568,273114,205910,163368,150571,113458,86719,71471,58882,50854
2020/05,27804,9416768,3613947,1865399,1258266,783955,549035,359920,262030,201492,161068,142063,115370,89819,74577,62315,52000
2020/06,23775,9429173,3564847,1852174,1249719,783082,541928,356083,260631,198759,160271,143556,116325,89880,73753,60890,51042
2020/07,26116,9495052,3520742,1825573,1242863,792445,552822,372833,276364,204048,161861,140547,115746,90143,73851,60272,51000
2020/08,26404,9615634,3490354,1816999,1240650,792521,553574,373985,276306,205306,162116,140115,115891,91085,74180,60517,51082
2020/09,20927,9605599,3575493,1874726,1263698,794069,546068,359978,267271,200264,158017,141409,116996,89428,72896,59851,50986
2020/10,25547,9793953,3564759,1866171,1261520,800188,548444,363728,269602,201770,158733,138623,115372,89986,75166,62372,52574
2020/11,20135,9662362,3705001,1924018,1272348,823414,561470,371747,272766,206221,160928,144594,123678,93478,77255,62583,51275
2020/12,15362,9485263,3644768,1904175,1262772,819099,558539,372022,272121,206186,161070,144522,123372,93282,77298,62554,51464
2021/01,50465,10420884,3381061,1768701,1138180,741657,472503,339046,245986,193073,162907,126415,96777,76673,71530,404905,
2021/02,34226,10511610,3391284,1778290,1143699,746732,477268,339961,246712,193397,162918,126530,97372,76574,68943,410245,
2021/03,30389,10501650,3486573,1849923,1151778,734768,469670,323938,238763,187331,154698,122667,92894,72941,65953,412986,
2021/04,29181,10557819,3466626,1845293,1151481,735987,470096,326550,239681,187739,156719,123892,93212,73618,66033,417799,
2021/05,27175,10440270,3530131,1871045,1159858,748393,473233,326495,242894,189812,160930,124741,96862,77674,68320,444447,
2021/06,26339,10537800,3499626,1872925,1161561,745902,469129,326717,242901,192921,165591,124053,94901,75927,67136,444997,
2021/07,24407,10476771,3570786,1882368,1186147,753621,491167,349334,254032,201725,171885,127562,96885,76815,69244,437743,
2021/08,24341,10613101,3548978,1882754,1188614,754483,491967,350001,254916,202032,172419,128021,97515,77141,69532,439121,
2021/09,22953,10629062,3658176,1954573,1199211,763091,487572,339178,250856,198622,167237,126833,96217,76239,67115,428696,
2021/10,23678,10776957,3648469,1956425,1198055,768957,494639,341810,249081,198803,167204,128891,99980,78975,68551,436374,
2021/11,21527,10658609,3804909,1994492,1234768,782949,504499,345579,251571,201649,173559,134013,102683,80877,69684,441289,
2021/12,22763,10411146,3772113,1976796,1226955,776524,501499,344792,251415,201275,174303,133758,102588,80694,69594,443561,
